case,run_id,attempt,seed,variant,decoder,scenario,outcome
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,opencv,original,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,zbar,original,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,opencv,jpeg_90,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,zbar,jpeg_90,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,opencv,jpeg_70,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,zbar,jpeg_70,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,opencv,blur_3,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,zbar,blur_3,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,opencv,brightness_low,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,zbar,brightness_low,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,opencv,brightness_high,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,zbar,brightness_high,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,opencv,contrast_low,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,zbar,contrast_low,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,opencv,downscale_75,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,zbar,downscale_75,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,opencv,noise_gaussian,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,zbar,noise_gaussian,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,opencv,rotation_3,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,zbar,rotation_3,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,opencv,print_dot_gain,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,zbar,print_dot_gain,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,opencv,print_dot_loss,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,zbar,print_dot_loss,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,opencv,perspective_mild,not_detected
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,zbar,perspective_mild,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,opencv,original,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,zbar,original,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,opencv,jpeg_90,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,zbar,jpeg_90,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,opencv,jpeg_70,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,zbar,jpeg_70,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,opencv,blur_3,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,zbar,blur_3,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,opencv,brightness_low,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,zbar,brightness_low,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,opencv,brightness_high,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,zbar,brightness_high,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,opencv,contrast_low,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,zbar,contrast_low,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,opencv,downscale_75,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,zbar,downscale_75,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,opencv,noise_gaussian,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,zbar,noise_gaussian,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,opencv,rotation_3,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,zbar,rotation_3,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,opencv,print_dot_gain,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,zbar,print_dot_gain,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,opencv,print_dot_loss,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,zbar,print_dot_loss,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,opencv,perspective_mild,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,zbar,perspective_mild,not_detected
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,rounded_16,opencv,print_dot_loss,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,opencv,original,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,zbar,original,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,opencv,jpeg_90,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,zbar,jpeg_90,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,opencv,jpeg_70,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,zbar,jpeg_70,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,opencv,blur_3,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,zbar,blur_3,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,opencv,brightness_low,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,zbar,brightness_low,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,opencv,brightness_high,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,zbar,brightness_high,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,opencv,contrast_low,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,zbar,contrast_low,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,opencv,downscale_75,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,zbar,downscale_75,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,opencv,noise_gaussian,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,zbar,noise_gaussian,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,opencv,rotation_3,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,zbar,rotation_3,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,opencv,print_dot_gain,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,zbar,print_dot_gain,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,opencv,print_dot_loss,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,zbar,print_dot_loss,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,opencv,perspective_mild,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,zbar,perspective_mild,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,rounded_16,zbar,downscale_75,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,rounded_32,zbar,downscale_75,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,rounded_48,zbar,downscale_75,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,perceptual_16,opencv,print_dot_gain,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,perceptual_16,opencv,print_dot_loss,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,perceptual_16_strong,zbar,downscale_75,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,perceptual_32,opencv,print_dot_loss,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,perceptual_32_strong,zbar,downscale_75,not_detected
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,perceptual_32_strong,opencv,print_dot_loss,not_detected
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,1,31415,raw,opencv,original,not_detected
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,1,31415,raw,zbar,original,not_detected
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,1,31415,raw,opencv,jpeg_90,not_detected
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,1,31415,raw,zbar,jpeg_90,not_detected
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,1,31415,raw,opencv,jpeg_70,not_detected
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,1,31415,raw,zbar,jpeg_70,not_detected
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,1,31415,raw,opencv,blur_3,not_detected
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,1,31415,raw,zbar,blur_3,not_detected
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,1,31415,raw,opencv,brightness_low,not_detected
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,1,31415,raw,zbar,brightness_low,not_detected
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,1,31415,raw,opencv,brightness_high,not_detected
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,1,31415,raw,zbar,brightness_high,not_detected
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,1,31415,raw,opencv,contrast_low,not_detected
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,1,31415,raw,zbar,contrast_low,not_detected
