captured_at,index,name,utilization_gpu_percent,memory_used_mib,memory_total_mib,temperature_c,power_w
2026-07-21T07:47:05.534443+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,4.0,20475.0,39.0,12.95
2026-07-21T07:47:06.551542+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,4.0,20475.0,39.0,12.95
2026-07-21T07:47:07.563525+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,4.0,20475.0,39.0,12.97
2026-07-21T07:47:08.572824+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,54.0,2952.0,20475.0,41.0,18.47
2026-07-21T07:47:09.581690+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,100.0,3458.0,20475.0,47.0,60.16
2026-07-21T07:47:10.590926+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,3850.0,20475.0,44.0,47.38
2026-07-21T07:47:11.599445+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,3850.0,20475.0,47.0,41.87
2026-07-21T07:47:12.608879+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,100.0,3850.0,20475.0,47.0,70.8
2026-07-21T07:47:13.617588+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,3850.0,20475.0,45.0,36.33
2026-07-21T07:47:14.628705+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,3850.0,20475.0,45.0,32.52
2026-07-21T07:47:15.638276+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,100.0,3850.0,20475.0,50.0,50.77
2026-07-21T07:47:16.647318+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,3850.0,20475.0,46.0,43.92
2026-07-21T07:47:17.656139+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,3850.0,20475.0,45.0,41.22
2026-07-21T07:47:18.664768+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,3850.0,20475.0,44.0,36.61
2026-07-21T07:47:19.673845+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,3850.0,20475.0,44.0,31.75
2026-07-21T07:47:20.682401+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,3850.0,20475.0,44.0,27.03
2026-07-21T07:47:21.691128+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,3850.0,20475.0,44.0,27.04
2026-07-21T07:47:22.699750+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,3850.0,20475.0,44.0,27.03
2026-07-21T07:47:23.708528+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,100.0,3850.0,20475.0,50.0,43.69
2026-07-21T07:47:24.717272+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,3850.0,20475.0,47.0,49.94
2026-07-21T07:47:25.726005+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,3850.0,20475.0,47.0,41.71
2026-07-21T07:47:26.735103+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,3850.0,20475.0,46.0,37.92
2026-07-21T07:47:27.743915+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,3850.0,20475.0,45.0,32.53
2026-07-21T07:47:28.752606+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,3850.0,20475.0,45.0,27.17
2026-07-21T07:47:29.761430+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,3850.0,20475.0,45.0,27.11
2026-07-21T07:47:30.770656+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,100.0,3850.0,20475.0,50.0,32.4
2026-07-21T07:47:31.779691+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,43.0,3850.0,20475.0,48.0,62.48
2026-07-21T07:47:32.788597+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,3850.0,20475.0,47.0,37.37
2026-07-21T07:47:33.805348+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,3850.0,20475.0,46.0,30.54
2026-07-21T07:47:34.814326+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,100.0,3860.0,20475.0,52.0,58.54
2026-07-21T07:47:35.823160+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,3860.0,20475.0,49.0,45.22
2026-07-21T07:47:36.832621+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,3860.0,20475.0,48.0,42.51
