case,run_id,attempt,seed,variant,status,exact_payload_match,artifact_available,failure_count,scan_pass_rate,module_error_rate,changed_pixel_ratio,mean_absolute_change,entropy_bits,clipped_pixel_ratio,brightness_mean,contrast_std,sharpness_laplacian
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,raw,rejected,False,True,26,0.0,0.068642,0.0,0.0,7.116386645119599,0.1065521240234375,0.5673613155589384,0.7319850403322381,2365.8632277086726
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,1,42,rounded_16,accepted,True,False,0,1.0,0.0,0.523345947265625,0.10030826743132149,5.599864019271276,0.5041236877441406,0.6238903270048254,0.8397861509080261,3941.45027874317
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,raw,rejected,False,True,26,0.0,0.088889,0.0,0.0,7.254117441591241,0.11202621459960938,0.5677312364765242,0.7364919875523642,2095.469843495506
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,rounded_16,rejected,True,False,1,0.961538,0.0,0.5418777465820312,0.09797926260754952,5.927317312583595,0.504913330078125,0.6189074647192861,0.8350069688252704,4006.6621268838644
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,1,137,rounded_32,accepted,True,False,0,1.0,0.0,0.5718002319335938,0.10534405677147161,4.6211032716909575,0.6225738525390625,0.6225332372328815,0.8485319603375294,4011.143783569336
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,raw,rejected,False,True,26,0.0,0.142024,0.0,0.0,6.70711642868072,0.16321945190429688,0.5370485043993183,0.7681812593873286,3292.5125589226227
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,rounded_16,rejected,True,False,1,0.961538,0.0,0.5362968444824219,0.1333481084287556,5.531386108066572,0.5211219787597656,0.6167950948079427,0.8685077969415267,5533.727661122975
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,rounded_32,rejected,True,False,1,0.961538,0.0,0.5535736083984375,0.1355957180845971,4.605398354355282,0.6341819763183594,0.616489455279182,0.880886584799377,5393.12809753418
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,rounded_48,rejected,True,False,1,0.961538,0.0,0.5877876281738281,0.14401147381152982,5.387604324423401,0.5402412414550781,0.6189063427495022,0.8762858848374635,5206.87252043694
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,perceptual_16,rejected,True,False,2,0.923077,0.006247,0.5066757202148438,0.10383450377221201,5.9168875204551865,0.390350341796875,0.5993342081705729,0.8452392260136683,4558.47173565869
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,perceptual_16_strong,rejected,True,False,1,0.961538,0.0,0.5320243835449219,0.12932563731872956,5.575187182068374,0.51971435546875,0.6149432014016544,0.8639391668189192,4957.826965322194
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,perceptual_32,rejected,True,False,1,0.961538,0.003748,0.5258750915527344,0.11116528479881536,5.8609487009737595,0.3937950134277344,0.6024151671166513,0.8499439977935992,4587.020769777342
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,perceptual_32_strong,rejected,True,False,2,0.923077,0.0,0.526092529296875,0.12173301846373315,5.579910835599474,0.5255355834960938,0.6086950863108915,0.8664714894725645,5017.359626760182
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,1,2026,perceptual_32_wide,accepted,True,False,0,1.0,0.0,0.5560684204101562,0.12963945476058264,5.574290830571602,0.4935493469238281,0.6130304523542816,0.8553507463926115,4639.881972989475
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,1,31415,raw,rejected,False,True,26,0.0,0.083715,0.0,0.0,7.541704167963944,0.08768463134765625,0.5966143888585708,0.7026852510107073,3244.0424994729547
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,1,31415,rounded_16,rejected,True,False,2,0.923077,0.0,0.49652862548828125,0.10749197068557241,6.335377153978648,0.4482994079589844,0.6236037609623928,0.8180691514313978,4835.0068321163835
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,1,31415,rounded_32,rejected,True,False,2,0.923077,0.0,0.5284233093261719,0.11527422238019558,5.086920260413505,0.5574531555175781,0.6289341197294347,0.8323400181077957,4725.019744873047
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,1,31415,rounded_48,rejected,True,False,1,0.961538,0.0,0.5722198486328125,0.12548617194680606,6.120400223150111,0.4725074768066406,0.632669381534352,0.8338790704780732,4561.600162499684
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,1,31415,perceptual_16,rejected,True,False,4,0.846154,0.004165,0.47579193115234375,0.08663923475477431,6.834470542246879,0.3034210205078125,0.6196987376493566,0.7939226417466988,4113.916599168544
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,1,31415,perceptual_16_strong,rejected,True,False,2,0.923077,0.0,0.4926910400390625,0.10475134756050858,6.358871654756616,0.4475517272949219,0.6229524799421722,0.8146505662233046,4488.306903832692
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,1,31415,perceptual_32,rejected,True,False,2,0.923077,0.001666,0.5037727355957031,0.09525550892150479,6.780441375944907,0.3049430847167969,0.6235556658576517,0.800374370076569,4077.129459275966
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,1,31415,perceptual_32_strong,rejected,True,False,2,0.923077,0.000416,0.5039024353027344,0.10404169419232537,6.320829388303464,0.4528312683105469,0.6258787267348346,0.8169835065541372,4434.08143233611
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,1,31415,perceptual_32_wide,rejected,True,False,1,0.961538,0.0,0.527740478515625,0.10947448630738102,6.633707297455842,0.3416290283203125,0.6270243326822916,0.8095493834168537,4156.940116798272
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,1,31415,perceptual_48,accepted,True,False,0,1.0,0.0,0.5742683410644531,0.12726920632755054,6.149146060532901,0.4697113037109375,0.6331094928816253,0.8307555937630539,4343.216587060231
industrial-technical,b1ae2ebc-1efc-4e2e-aa78-d6c9f1542e77,1,271828,raw,rejected,False,True,26,0.0,0.137026,0.0,0.0,6.540067205265492,0.13390731811523438,0.6200742684158624,0.7815738030158211,4141.264242845922
industrial-technical,b1ae2ebc-1efc-4e2e-aa78-d6c9f1542e77,1,271828,rounded_16,rejected,True,False,2,0.923077,0.0,0.4797096252441406,0.11067061580084508,5.443378022030104,0.5053253173828125,0.6456792494829964,0.8449300176707273,5762.002601622604
industrial-technical,b1ae2ebc-1efc-4e2e-aa78-d6c9f1542e77,1,271828,rounded_32,accepted,True,False,0,1.0,0.0,0.5241622924804688,0.11410296571020986,4.705626636180876,0.6068267822265625,0.6485673044242111,0.8573744831053944,5631.111442565918
dense-payload,77646eed-950d-4345-b0bc-ff2120f673f4,1,9001,raw,rejected,False,True,26,0.0,0.268851,0.0,0.0,7.770417462299158,0.016193389892578125,0.5597949308507583,0.5424209675077419,4530.401647452132
dense-payload,77646eed-950d-4345-b0bc-ff2120f673f4,1,9001,rounded_16,rejected,False,False,10,0.615385,0.0,0.6370353698730469,0.23751530366785387,6.7101499414537376,0.23891830444335938,0.5858107323740043,0.8020213074044884,8155.4228743752465
dense-payload,77646eed-950d-4345-b0bc-ff2120f673f4,1,9001,rounded_32,rejected,True,False,2,0.923077,0.0,0.7153663635253906,0.23956633424447252,5.137007898576023,0.5540046691894531,0.6001892389035692,0.8162972605226363,7999.6340255737305
dense-payload,77646eed-950d-4345-b0bc-ff2120f673f4,1,9001,rounded_48,accepted,True,False,0,1.0,0.0,0.7753410339355469,0.2589911118052364,6.413338601244781,0.2648887634277344,0.6080814885158164,0.8134682330783994,6924.785011216067
