case,run_id,status,selected_variant,selected_attempt,attempts,first_attempt_accepted,first_attempt_scan_pass_rate,raw_scan_pass_rate,guided_scan_pass_rate,latent_scan_pass_rate,global_fallback_used,qr_version,scan_pass_rate,module_error_rate,generation_ms,validation_ms,total_ms,brightness_mean,contrast_std,entropy_bits,sharpness_laplacian,clipped_pixel_ratio,changed_pixel_ratio,mean_absolute_change,error
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,accepted,rounded_16,1,1,True,1.0,0.0,,,False,5,1.0,0.0,4298.521384596825,460.5689439922571,5681.202406063676,0.6238903270048254,0.8397861509080261,5.599864019271276,3941.45027874317,0.5041236877441406,0.523345947265625,0.10030826743132149,
wine-label,69c794c1-6790-4ec2-8df3-63dac446375d,accepted,rounded_32,1,1,True,1.0,0.0,,,False,5,1.0,0.0,1089.2512509599328,594.7902230545878,2842.210380360484,0.6225332372328815,0.8485319603375294,4.6211032716909575,4011.143783569336,0.6225738525390625,0.5718002319335938,0.10534405677147161,
geometric-packaging,4efac076-bcb3-488b-8d18-aa636a61a1b3,accepted,perceptual_32_wide,1,1,True,1.0,0.0,,,False,6,1.0,0.0,1093.0545618757606,2101.696596480906,8203.15247029066,0.6130304523542816,0.8553507463926115,5.574290830571602,4639.881972989475,0.4935493469238281,0.5560684204101562,0.12963945476058264,
cosmetics-organic,346d18c3-737d-4fb0-bedc-06ead69eb8d9,accepted,perceptual_48,1,1,True,1.0,0.0,,,False,6,1.0,0.0,1097.7071281522512,2320.3466162085533,7425.854272209108,0.6331094928816253,0.8307555937630539,6.149146060532901,4343.216587060231,0.4697113037109375,0.5742683410644531,0.12726920632755054,
industrial-technical,b1ae2ebc-1efc-4e2e-aa78-d6c9f1542e77,accepted,rounded_32,1,1,True,1.0,0.0,,,False,6,1.0,0.0,1098.1354964897037,610.9023941680789,3127.3606065660715,0.6485673044242111,0.8573744831053944,4.705626636180876,5631.111442565918,0.6068267822265625,0.5241622924804688,0.11410296571020986,
dense-payload,77646eed-950d-4345-b0bc-ff2120f673f4,accepted,rounded_48,1,1,True,1.0,0.0,,,False,11,1.0,0.0,1102.3016003891826,961.998701095581,3796.3393554091454,0.6080814885158164,0.8134682330783994,6.413338601244781,6924.785011216067,0.2648887634277344,0.7753410339355469,0.2589911118052364,
