case,scan_pass_rate,scan_delta,changed_pixel_ratio,changed_delta,total_ms,total_delta_ms
botanical-short,1.0,0.0,0.523345947265625,0.0,5681.202406063676,-2469.0957944840193
wine-label,1.0,0.0,0.5718002319335938,0.0,2842.210380360484,-2424.7898841276765
geometric-packaging,1.0,0.0,0.5560684204101562,0.0,8203.15247029066,-2644.767283461988
cosmetics-organic,1.0,0.0,0.5742683410644531,0.0,7425.854272209108,-2431.5947480499744
industrial-technical,1.0,0.0,0.5241622924804688,0.0,3127.3606065660715,-2854.479474015534
dense-payload,1.0,0.0,0.7753410339355469,0.0,3796.3393554091454,-2234.3364749103785
