case,run_id,decoder,scenario,success,exact_payload_match,latency_ms
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,opencv,original,True,True,9.890093468129635
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,zbar,original,True,True,16.770626418292522
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,opencv,jpeg_90,True,True,9.951364248991013
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,zbar,jpeg_90,True,True,7.7994829043745995
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,opencv,jpeg_70,True,True,9.759359061717987
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,zbar,jpeg_70,True,True,8.333333767950535
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,opencv,blur_3,True,True,9.572167880833149
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,zbar,blur_3,True,True,5.532597191631794
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,opencv,brightness_low,True,True,9.701511822640896
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,zbar,brightness_low,True,True,6.861166097223759
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,opencv,brightness_high,True,True,9.406251832842827
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,zbar,brightness_high,True,True,6.778419949114323
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,opencv,contrast_low,True,True,9.717060253024101
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,zbar,contrast_low,True,True,6.999722681939602
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,opencv,downscale_75,True,True,7.870662957429886
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,zbar,downscale_75,True,True,7.270497269928455
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,opencv,noise_gaussian,True,True,9.98586229979992
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,zbar,noise_gaussian,True,True,10.792129673063755
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,opencv,rotation_3,True,True,9.884209372103214
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,zbar,rotation_3,True,True,7.100993767380714
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,opencv,print_dot_gain,True,True,11.043358594179153
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,zbar,print_dot_gain,True,True,4.37929667532444
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,opencv,print_dot_loss,True,True,8.265645243227482
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,zbar,print_dot_loss,True,True,4.276907071471214
botanical-short,d7953033-903e-485d-a2ec-ec8bad53a48e,opencv,perspective_mild,True,True,9.595794603228569
