captured_at,index,name,utilization_gpu_percent,memory_used_mib,memory_total_mib,temperature_c,power_w
2026-07-21T07:48:40.190052+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,6192.0,20475.0,58.0,55.97
2026-07-21T07:48:41.198793+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,6192.0,20475.0,57.0,43.83
2026-07-21T07:48:42.207906+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,6192.0,20475.0,55.0,38.78
2026-07-21T07:48:43.216614+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,6192.0,20475.0,55.0,33.48
2026-07-21T07:48:44.226084+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,6192.0,20475.0,58.0,28.89
2026-07-21T07:48:45.234785+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,100.0,6192.0,20475.0,60.0,70.12
2026-07-21T07:48:46.243749+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,100.0,6192.0,20475.0,61.0,61.45
2026-07-21T07:48:47.252636+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,66.0,6192.0,20475.0,61.0,58.85
2026-07-21T07:48:48.261692+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,100.0,6192.0,20475.0,61.0,67.53
2026-07-21T07:48:49.270347+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,6192.0,20475.0,59.0,56.32
2026-07-21T07:48:50.279006+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,6192.0,20475.0,59.0,44.79
2026-07-21T07:48:51.287965+00:00,0,NVIDIA RTX 4000 SFF Ada Generation,0.0,6192.0,20475.0,57.0,40.42
