case,scan_pass_rate,scan_delta,changed_pixel_ratio,changed_delta,total_ms,total_delta_ms
botanical-short,1.0,0.0,0.7104263305664062,0.18708038330078125,10407.569681294262,4726.3672752305865
wine-label,1.0,0.0,0.7266769409179688,0.154876708984375,7653.6702662706375,4811.459885910153
geometric-packaging,1.0,0.0,0.6738014221191406,0.11773300170898438,13619.544379413128,5416.391909122467
cosmetics-organic,1.0,0.0,0.7311439514160156,0.1568756103515625,8299.932971596718,874.07869938761
industrial-technical,1.0,0.0,0.6584548950195312,0.1342926025390625,10023.203348740935,6895.842742174864
dense-payload,1.0,0.0,0.9393768310546875,0.16403579711914062,7689.970093779266,3893.6307383701205
