case,run_id,status,selected_variant,selected_attempt,attempts,first_attempt_accepted,first_attempt_scan_pass_rate,raw_scan_pass_rate,guided_scan_pass_rate,latent_scan_pass_rate,global_fallback_used,qr_version,scan_pass_rate,module_error_rate,generation_ms,validation_ms,total_ms,brightness_mean,contrast_std,entropy_bits,sharpness_laplacian,clipped_pixel_ratio,changed_pixel_ratio,mean_absolute_change,error
botanical-short,717be99f-7636-413e-9177-6d71851506d5,accepted,guided_latent_rounded_16,1,1,True,1.0,0.0,0.0,0.0,False,5,1.0,0.0,4490.588030777872,794.7258073836565,10407.569681294262,0.622315455418007,0.836729820756871,5.7870579383965355,3813.8140093521065,0.5085983276367188,0.7104263305664062,0.12125898373672385,
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,accepted,guided_latent_rounded_32,1,1,True,1.0,0.0,0.0,0.0,False,5,1.0,0.0,1104.5675734058022,876.9449358806014,7653.6702662706375,0.6229690102969899,0.8440834963333972,4.675980067649901,3759.1295776367188,0.6202735900878906,0.7266769409179688,0.12256388944738052,
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,accepted,guided_latent_perceptual_32_wide,1,1,True,1.0,0.0,0.0,0.0,False,6,1.0,0.0,1114.789000712335,2507.9332506284118,13619.544379413128,0.6105778563256358,0.8496013621391403,5.792905394691317,4351.10470530296,0.298431396484375,0.6738014221191406,0.143301077450023,
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,accepted,guided_latent_rounded_48,1,1,True,1.0,0.0,0.0,0.0,False,6,1.0,0.0,1108.3054412156343,1232.4499683454633,8299.932971596718,0.6307259353936887,0.829982179926296,6.17130788582309,4211.408451075067,0.45550537109375,0.7311439514160156,0.1434912588082108,
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,accepted,guided_latent_rounded_48,1,1,True,1.0,0.0,0.0,0.0,False,6,1.0,0.0,1115.1529112830758,1155.4800672456622,10023.203348740935,0.6496550167308134,0.851846058453095,5.3607182608866175,5107.807843646966,0.5263900756835938,0.6584548950195312,0.141071972815819,
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,accepted,guided_latent_rounded_48,1,1,True,1.0,0.0,0.0,0.0,False,11,1.0,0.0,1116.3459410890937,1382.9478211700916,7689.970093779266,0.6093907075769761,0.8084068870762136,6.36106465815315,6329.168792515062,0.23789215087890625,0.9393768310546875,0.2836202933118234,
